Series;Time;Value
Dal YP;2017-10-09T22:00:00.000Z;4159
Dal YP;2017-10-09T22:01:00.000Z;3667
Dal YP;2017-10-09T22:02:00.000Z;3801
Dal YP;2017-10-09T22:03:00.000Z;3750
Dal YP;2017-10-09T22:04:00.000Z;3695
Dal YP;2017-10-09T22:05:00.000Z;3900
Dal YP;2017-10-09T22:06:00.000Z;3758
Dal YP;2017-10-09T22:07:00.000Z;3598
Dal YP;2017-10-09T22:08:00.000Z;3987
Dal YP;2017-10-09T22:09:00.000Z;3872
Dal YP;2017-10-09T22:10:00.000Z;3689
Dal YP;2017-10-09T22:11:00.000Z;3144
Dal YP;2017-10-09T22:12:00.000Z;3859
Dal YP;2017-10-09T22:13:00.000Z;3027
Dal YP;2017-10-09T22:14:00.000Z;2998
Dal YP;2017-10-09T22:15:00.000Z;3080
Dal YP;2017-10-09T22:16:00.000Z;3006
Dal YP;2017-10-09T22:17:00.000Z;3630
Dal YP;2017-10-09T22:18:00.000Z;3254
Dal YP;2017-10-09T22:19:00.000Z;3193
Dal YP;2017-10-09T22:20:00.000Z;3383
Dal YP;2017-10-09T22:21:00.000Z;3307
Dal YP;2017-10-09T22:22:00.000Z;3595
Dal YP;2017-10-09T22:23:00.000Z;3408
Dal YP;2017-10-09T22:24:00.000Z;3243
Dal YP;2017-10-09T22:25:00.000Z;2860
Dal YP;2017-10-09T22:26:00.000Z;2959
Dal YP;2017-10-09T22:27:00.000Z;3303
Dal YP;2017-10-09T22:28:00.000Z;3130
Dal YP;2017-10-09T22:29:00.000Z;3468
Dal YP;2017-10-09T22:30:00.000Z;3662
Dal YP;2017-10-09T22:31:00.000Z;3305
Dal YP;2017-10-09T22:32:00.000Z;3604
Dal YP;2017-10-09T22:33:00.000Z;3304
Dal YP;2017-10-09T22:34:00.000Z;2937
Dal YP;2017-10-09T22:36:00.000Z;3390
Dal YP;2017-10-09T22:37:00.000Z;3208
Dal YP;2017-10-09T22:38:00.000Z;3188
Dal YP;2017-10-09T22:39:00.000Z;2702
Dal YP;2017-10-09T22:40:00.000Z;3438
Dal YP;2017-10-09T22:41:00.000Z;3422
Dal YP;2017-10-09T22:42:00.000Z;3456
Dal YP;2017-10-09T22:43:00.000Z;3495
Dal YP;2017-10-09T22:44:00.000Z;3701
Dal YP;2017-10-09T22:45:00.000Z;3267
Dal YP;2017-10-09T22:46:00.000Z;3159
Dal YP;2017-10-09T22:47:00.000Z;2979
Dal YP;2017-10-09T22:48:00.000Z;3561
Dal YP;2017-10-09T22:49:00.000Z;3144
Dal YP;2017-10-09T22:50:00.000Z;3467
Dal YP;2017-10-09T22:51:00.000Z;3013
Dal YP;2017-10-09T22:52:00.000Z;3237
Dal YP;2017-10-09T22:53:00.000Z;3281
Dal YP;2017-10-09T22:54:00.000Z;2863
Dal YP;2017-10-09T22:55:00.000Z;3074
Dal YP;2017-10-09T22:56:00.000Z;3375
Dal YP;2017-10-09T22:57:00.000Z;3276
Dal YP;2017-10-09T22:58:00.000Z;3524
Dal YP;2017-10-09T22:59:00.000Z;3380
Dal YP;2017-10-09T23:00:00.000Z;3249
Dal YP;2017-10-09T23:01:00.000Z;3173
Dal YP;2017-10-09T23:02:00.000Z;3665
Dal YP;2017-10-09T23:03:00.000Z;3645
Dal YP;2017-10-09T23:04:00.000Z;3563
Dal YP;2017-10-09T23:05:00.000Z;3636
Dal YP;2017-10-09T23:06:00.000Z;3854
Dal YP;2017-10-09T23:07:00.000Z;3565
Dal YP;2017-10-09T23:08:00.000Z;3206
Dal YP;2017-10-09T23:09:00.000Z;3205
Dal YP;2017-10-09T23:10:00.000Z;2773
Dal YP;2017-10-09T23:11:00.000Z;3136
Dal YP;2017-10-09T23:12:00.000Z;3281
Dal YP;2017-10-09T23:13:00.000Z;3269
Dal YP;2017-10-09T23:14:00.000Z;3149
Dal YP;2017-10-09T23:15:00.000Z;2696
Dal YP;2017-10-09T23:16:00.000Z;2412
Dal YP;2017-10-09T23:17:00.000Z;2744
Dal YP;2017-10-09T23:18:00.000Z;2802
Dal YP;2017-10-09T23:19:00.000Z;2626
Dal YP;2017-10-09T23:20:00.000Z;2933
Dal YP;2017-10-09T23:21:00.000Z;2968
Dal YP;2017-10-09T23:22:00.000Z;3326
Dal YP;2017-10-09T23:23:00.000Z;3308
Dal YP;2017-10-09T23:24:00.000Z;2596
Dal YP;2017-10-09T23:25:00.000Z;3031
Dal YP;2017-10-09T23:26:00.000Z;2832
Dal YP;2017-10-09T23:27:00.000Z;2736
Dal YP;2017-10-09T23:28:00.000Z;2575
Dal YP;2017-10-09T23:29:00.000Z;2552
Dal YP;2017-10-09T23:30:00.000Z;2881
Dal YP;2017-10-09T23:31:00.000Z;2581
Dal YP;2017-10-09T23:32:00.000Z;3015
Dal YP;2017-10-09T23:33:00.000Z;3001
